 ,Label,Area,Mean,StdDev,Min,Max,Slice
468,22946173.tif:Blue,221,255,0,255,255,3
469,22946173.tif:Blue,271,255,0,255,255,3
470,22946173.tif:Blue,269,255,0,255,255,3
471,22946173.tif:Blue,312,255,0,255,255,3
472,22946173.tif:Blue,311,255,0,255,255,3
473,22946173.tif:Blue,370,255,0,255,255,3
474,22946173.tif:Blue,325,255,0,255,255,3
475,22946173.tif:Blue,314,255,0,255,255,3
476,22946173.tif:Blue,491,255,0,255,255,3
477,22946173.tif:Blue,429,255,0,255,255,3
478,22946173.tif:Blue,325,255,0,255,255,3
479,22946173.tif:Blue,278,255,0,255,255,3
480,22946173.tif:Blue,345,255,0,255,255,3
481,22946173.tif:Blue,295,255,0,255,255,3
482,22946173.tif:Blue,213,255,0,255,255,3
483,22946173.tif:Blue,283,255,0,255,255,3
484,22946173.tif:Blue,302,255,0,255,255,3
485,22946173.tif:Blue,287,255,0,255,255,3
486,22946173.tif:Blue,182,255,0,255,255,3
487,22946173.tif:Blue,329,255,0,255,255,3
488,22946173.tif:Blue,274,255,0,255,255,3
489,22946173.tif:Blue,308,255,0,255,255,3
490,22946173.tif:Blue,468,255,0,255,255,3
491,22946173.tif:Blue,282,255,0,255,255,3
492,22946173.tif:Blue,325,255,0,255,255,3
493,22946173.tif:Blue,384,255,0,255,255,3
494,22946173.tif:Blue,231,255,0,255,255,3
495,22946173.tif:Blue,427,255,0,255,255,3
496,22946173.tif:Blue,363,255,0,255,255,3
497,22946173.tif:Blue,412,255,0,255,255,3
498,22946173.tif:Blue,299,255,0,255,255,3
499,22946173.tif:Blue,242,255,0,255,255,3
500,22946173.tif:Blue,385,255,0,255,255,3
501,22946173.tif:Blue,491,255,0,255,255,3
502,22946173.tif:Blue,253,255,0,255,255,3
503,22946173.tif:Blue,283,255,0,255,255,3
504,22946173.tif:Blue,272,255,0,255,255,3
505,22946173.tif:Blue,270,255,0,255,255,3
506,22946173.tif:Blue,499,255,0,255,255,3
507,22946173.tif:Blue,253,255,0,255,255,3
508,22946173.tif:Blue,311,255,0,255,255,3
509,22946173.tif:Blue,294,255,0,255,255,3
510,22946173.tif:Blue,330,255,0,255,255,3
511,22946173.tif:Blue,315,255,0,255,255,3
512,22946173.tif:Blue,456,255,0,255,255,3
513,22946173.tif:Blue,418,255,0,255,255,3
514,22946173.tif:Blue,278,255,0,255,255,3
515,22946173.tif:Blue,317,255,0,255,255,3
516,22946173.tif:Blue,277,255,0,255,255,3
517,22946173.tif:Blue,267,255,0,255,255,3
